frame_id,ok,used_markers,n_points,err_mean,err_median,err_p90,used_ids
0,True,1,4,0.022704,0.022662,0.023803,"[1]"
1,True,1,4,0.189258,0.188864,0.196202,"[0]"
2,True,1,4,0.189258,0.188864,0.196202,"[0]"
3,True,1,4,0.173700,0.173765,0.174711,"[4]"
4,True,1,4,0.173700,0.173765,0.174711,"[4]"
5,True,1,4,0.179800,0.179754,0.182713,"[1]"
6,True,1,4,0.079354,0.079337,0.081447,"[2]"
7,True,1,4,0.153463,0.153432,0.153725,"[1]"
8,True,1,4,0.156471,0.156306,0.166502,"[4]"
9,True,1,4,0.156471,0.156306,0.166502,"[4]"
10,True,1,4,0.047689,0.047649,0.050359,"[4]"
11,True,1,4,0.047689,0.047649,0.050359,"[4]"
12,True,1,4,0.208981,0.208949,0.210930,"[2]"
13,True,1,4,0.208981,0.208949,0.210930,"[2]"
14,True,1,4,0.208981,0.208949,0.210930,"[2]"
15,True,1,4,0.029932,0.029931,0.030710,"[1]"
16,True,1,4,0.038122,0.038233,0.040232,"[4]"
17,True,1,4,0.029932,0.029931,0.030710,"[1]"
18,True,1,4,0.220894,0.220845,0.222886,"[1]"
19,True,1,4,0.220894,0.220845,0.222886,"[1]"
20,True,1,4,0.220894,0.220845,0.222886,"[1]"
21,True,1,4,0.306186,0.306148,0.308846,"[1]"
22,True,1,4,0.212571,0.212615,0.226930,"[1]"
23,True,1,4,0.306186,0.306148,0.308846,"[1]"
24,True,1,4,0.195733,0.195722,0.197681,"[4]"
25,True,1,4,0.137046,0.136880,0.147702,"[3]"
26,True,1,4,0.389967,0.389970,0.392498,"[4]"
